Created on,Problem,Solution,Priority,Skill Level, Estimated Cost of Repair - amount ,Status,Funding,Date Completed, Final Cost of Repair/Investment - amount ,Community,Volunteer or Groups,Contractor
2023-11-01 15:11,Ceiling is sagging and rotten in various places throughout the house due to the roof leaks. Mold also seems to be an issue in these spots.,Demo all old bead board ceiling. Replace with new ceiling material.,Urgent,High,,,,,,Marshall,,
2023-11-01 14:58,Unconventional railroad tie foundation wall for house addition seems to be in a state of collapse.,"Due to the unconventional nature of the foundation, a certified structural engineer would be needed to inspect and make recommendations on solutions.",Urgent,High,,,,,,Marshall,,
2023-11-01 14:46,Front porch has many rotten boards and is missing a hand rail on the right end.,Demo rotten boards and replace where applicable. Build new hand rail at the right end.,High,High,,,,,,Marshall,,
2023-11-01 14:38,Floor sagging in various places in the house and some floors are soft in various places of the house. Most notably the left side of the living room and kitchen. Also in the bathroom/laundry room. Sagging under the washer as well as the toilet. A piece of plywood was being used to cover the sagging floor at the washer. The toilet is also loose.,"Scope of work is so large that a more thorough inspection of the flooring system is needed in basement/crawlspace because of possible foundational issues. If foundational issues are found, they would need to be addressed first. To begin any work on the flooring system, the home would need clutter and things moved out. Then demo and replacement of the joists and subfloor could start.",Urgent,High,,,,,,Marshall,,
2023-11-01 14:11,Roof has several long term leaks throughout the house that could be contributing to severe structural damage of the roofing framing system and support walls. Porch roofing and framing does not properly tie into the framing of the existing structure.,Replace old roofing and repair rafters and sheathing as needed.,Urgent,High,,,,,,Marshall,,
2023-11-01 13:59,Bedroom window sills are rotting.,"Uncover four exterior panels to the left and right of two windows to inspect total damage. Remove old windows and repair framing, sheathing, and insulation as needed. Install new windows and reinstall metal siding panels.",,High,,Waiting,,,,Marshall,,
2023-11-01 13:56,Floor rotting in the bathroom under the tub. Causing one existing hole,"Inspect underneath from the crawlspace to determine the extent of damage if possible. Based on findings, remove tub and tile flooring as needed. Replace any subfloor that has rotted and repair and floor joists as needed. Install new tub and new flooring.",High,High,,Waiting,,,,Marshall,,
2023-11-01 13:51,Front door ramp is very steep,Demo old ramp and replace with ADA compliant ramp,Low,High,,Waiting,,,,Marshall,,
2023-11-01 12:45,Water quality concerns.,Contact home inspection service to check water,High,High, $200 ,Waiting,,,,,,
2023-11-01 12:11,Septic tank backing up / failing,Contact Septic Service provider to get recommendation.,Urgent,High,,Waiting,,,,,,
2023-11-01 12:05,Cut off valves underneath bathroom sink leak when turned on.,Have valves replace by a plumber or qualified handyman.,Low,High, $50 ,Waiting,,,,,,
2023-11-01 11:38,Variety of electrical issues in home. Electrical panel missing breakers. Evidence of breakers over heating and melting. Report of electrical shock when pull switch chain on ceiling fan. Flickering lights. Ceiling fan not working but light kit does. Power only present on one leg of some double pole breakers.,Have a qualified licensed electrician assess the situation and provide possible solutions.,Urgent,High,,In Process,,,,,,
2023-10-30 10:14,Back deck has been rebuilt but needs paint stain.,Stain/paint back deck.,Low,Low,,Waiting,,,,Upper Laurel,,
2023-10-26 16:37,The water is of inadequate flow and not supplying all taps,Contact license plumber to assess the situation and a quote for a pump.,Urgent,High,,Waiting,HOP,,,Petersburg,,
2023-10-26 16:29,Evaluate electrical system. Multiple breakers not working even though they appear to be in the on position.,Contact licensed electrician to assess the situation and make necessary repairs.,Urgent,High,,Waiting,HOP,,,Petersburg,,
2023-10-24 10:54,Water running off roof.,Install seamless gutters.,,High," $1,000 ",Waiting,,,,Mars Hill,,
2023-10-24 10:53,Water is collecting around the house.,an assessment by a grading contractor to determine how to divert the water away.,Urgent,High,,Waiting,,,,Mars Hill,,
2023-10-24 10:53,"Ramp is failing, soft spots and holes throughout. No railing on exit. Sliding door to no where. Siding missing next to ramp.",Carpenter needed to rebuild ramp and repair siding at front of house.,Urgent,High," $5,000 ",Waiting,,,,Mars Hill,,
2023-10-24 10:49,No pressure tank on property,Buy and install a pressure tank,Urgent,High, $600 ,Waiting,,,,Mars Hill,,
2023-10-04 21:05,Ramp needs stain,Stain ramp,Low,Low, $400 ,Complete,Volunteer,2023-07-18, $400 ,Spillcorn,Christ Church (Raleigh),
2023-09-28 11:48,Pellet stove doesn't heat the whole house,Maybe install two mini splits opposite of the pellet stove,Low,High," $6,500 ",Complete,HOP,2023-11-02 7:46," $6,800 ",East Fork,,Derick Chandler
2023-09-28 10:46,No exhaust fan in bathroom. They shoved jeans in the hole.,Install an exhaust fan and be sure it vents through the roof.,Low,High, $500 ,Waiting,,,,East Fork,,
2023-09-28 10:45,Stove does not work,Help them find a new one,Low,Low, $500 ,Complete,HOP,2023-10-28 7:45, $800 ,East Fork,,
2023-09-28 10:42,No bathroom sink in the bathroom they use,"There is a vanity already there and they have the sink, it just needs to be plumbed in",Low,, $500 ,Waiting,,,,East Fork,,
2023-09-28 10:41,Main water pipe is leaking from sub zero temps,Have a plumber go out to replace pipe as needed,High,High," $1,200 ",Waiting,,,,East Fork,,
2023-09-28 10:40,No underpinning,Replace under pinning after leak is addressed,Low,Low," $2,500 ",Waiting,,,,East Fork,,
2023-09-28 10:39,Sub floor in two rooms,Lay a water proof flooring down,Low,Low," $1,800 ",Waiting,,,,East Fork,,
2023-09-28 10:39,Roof leaking very badly,Put metal over failing shingle roof,Urgent,High," $8,000 ",Complete,HOP,2023-09-30 21:34," $7,386 ",East Fork,,Neil Chandler Construction
2023-09-14 21:35,Second bathroom toilet will keep running if you don't jiggle the handle,Check the insides of the toilet and replace as needed,Low,Low, $200 ,Waiting,,,,Shelton Laurel,,
2023-09-14 21:33,Underpinning needs work,"See if underpinning can be salvaged, if not replace",Low,Low," $1,450 ",Waiting,,,,Shelton Laurel,,
2023-09-14 21:30,Unvented propane is only heat source they run 3-4 space heaters as well. The heat pump broke but there is still a USDA loan on it.,Have an HVAC company quote repairing old system vs. replacing,Urgent,High," $15,000 ",Complete,HOP,2023-11-06," $9,175 ",Shelton Laurel,,Rutherford Heating & Air
2023-09-14 21:27,Catching mice in trap in bathroom,Have an exterminator out,High,High, $800 ,Waiting,,,,Shelton Laurel,,
2023-09-14 21:24,signs of a roof leak at chimney and near transition,Have roofer assess what is needed.,High,High, $500 ,Waiting,,,,Shelton Laurel,,
2023-09-14 21:20,Back deck is rotten,tear down and build a new one,Low,High," $1,200 ",Waiting,,,,Shelton Laurel,,
2023-09-14 21:19,a few outlets don't work and 1 is falling out of the wall,Get an electrician to go assess why they don't work and secure the outlet,Low,Low, $300 ,Waiting,,,,Shelton Laurel,,
2023-09-14 21:09,Ceiling fan made a popping noise one day while on. Since then only the light works halfway,Replace ceiling fan,Low,Low, $450 ,Waiting,,,,Shelton Laurel,,
2023-09-14 21:08,Storm door is broken,Replace Storm door,Low,Low, $250 ,Waiting,,,,Shelton Laurel,,
2023-09-14 21:07,"25 yr old carpet in living room, hallway and bedrooms",Ripe out carpet and replace with flooring,Low,High," $4,500 ",Waiting,,,,Shelton Laurel,,
2023-09-14 21:05,Porch roof leaking at transition and plywood rotting.,reflash the transition and replace what's rotten on the porch roof.,Low,High," $1,000 ",Waiting,,,,Shelton Laurel,,
2023-09-14 21:03,Soft flooring around master bathroom toilet,"Take out toilet, cut out the flooring as needed and replace flooring.",High,High," $1,500 ",Waiting,HOP,,,Shelton Laurel,,
2023-09-07 10:33,No primary source of heat,install new HVAC system,High,High," $14,500 ",Complete,HOP,2023-10-20," $14,300 ",Hot Springs,,Derick Chandler
2023-08-29 14:24,Post at carport has been hit with car several times and is out of plumb.,Replace post.,Low,Low,,On Hold,,,,,,
2023-08-29 14:23,Porch plywood is beginning to rot.,Remove plywood and assess decking boards. Replace decking boards as needed.,High,Low," $1,000 ",On Hold,,,,,,
2023-08-29 14:22,Accessible bathroom needed.,Refer to IL for either bathroom to be assessed.,Urgent,High,,On Hold,,,,,,
2023-08-29 14:21,"Flooring is soft in bathrooms, kitchen, and laundry room.","Remove baseboard, remove flooring/carpet, repair/replace framing as needed. Replace plywood with Advantech. Install vapor barrier and finish flooring. Install baseboard or shoe mold. Replace heat registers as needed.",Urgent,High," $6,500 ",On Hold,,,,,,
2023-08-29 14:05,Underpinning incomplete in a few spot. Overall the underpinning is dry rotted and damaged from a weed eater and could all be replaced by summer group or contractor.,Repair/replace underpinning as needed.,High,Low," $1,500 ",Waiting,,,,,,
2023-08-29 14:03,Front entryway floor need to be repaired before the front door is replaced.,Repair front entryway sub floor and flooring before installing new front door.,Urgent,High," $1,000 ",Complete,URP; Unrestricted,2023-10-01," $1,500 ",,,Keith Lucas
2023-08-29 13:55,Flooring in kitchen needs major repairs.,"Remove baseboard, remove flooring/carpet, repair/replace framing as needed. Replace plywood with Advantech. Install vapor barrier and finish flooring. Install baseboard or shoe mold. Replace heat registers as needed.",Urgent,High," $2,500 ",Waiting,URP,2023-10-01," $6,550 ",,,Keith Lucas
2023-08-29 13:50,Front door needs to be replaced.,Remove mobile home door and old gasket material. Install new door with fresh gasket and screws. Insulate and trim as needed. Ensure door has proper function and airtightness.,Urgent,High, $750 ,Complete,URP; Unrestricted,2023-10-01," $2,000 ",,,
2023-08-29 13:44,Roof is rusted out and the trailer gutters are seeping water into the walls.,"Install purlins to allow 10"" overhang on ends of trailer. Install metal roofing with 10"" overhang on the sides. Install ridge cap with excluders. Customer can choose non-premium color.",Urgent,High," $5,000 ",Complete,Unrestricted,2023-09-13," $5,895 ",,,Neil Chandler Construction
2023-08-29 13:36,Front deck is needs to be rebuilt.,"Demolish existing deck at front of house.

Rebuild deck to with adequate footer, handrail (34-38""), and low rise steps (approx. 6"" rise)",Urgent,High," $1,500 ",Waiting,,,,,,
2023-08-23 11:40,Back steps have broken apart since I did my assessment. I confirmed this when I was there the other day. Stringers are broken at bottom steps and will have to be rebuilt.,"Demo steps and rebuild low rise (max 6"" rise) steps with handrail.",Urgent,High, $750 ,Waiting,,,,Marshall,,
2023-08-23 8:20,Front and back entrance/exit need to be stained,Stain front and back enterance/exit,Low,Low, $350 ,Complete,Volunteer,2023-07-31, $300 ,Spillcorn,Christ Church (Raleigh),
2023-08-17 12:21,Newly built ramp and porch are unprotected from weather.,Stain ramp and porch.,High,,,Waiting,,,,Marshall,,
2023-08-16 14:12,Demo ramp,re build ramp,High,High," $3,500 ",Waiting,Unrestricted; URP,,,Marshall,,
2023-08-15 14:03,Interior ceiling is falling in and covered in mold.,Remove and replace framing and drywall. Install new.,Urgent,High," $10,000 ",Waiting,,,,Big Laurel,,
2023-08-14 15:58,Back and front need stain,Stain back and front,Low,Low, $200 ,On Hold,,,,Mars Hill,,
2023-08-14 10:07,New steps and landings need stain,Stain new steps and landings,Low,, $400 ,Waiting,,,,Spillcorn,,
2023-08-10 14:39,Client feels unsafe getting in and out of shower.,Install grab bar next to shower.,High,High,,Waiting,,,,Mars Hill,,
2023-08-10 14:21,Soft spot on front porch.,Remove and replace 40sq ft of hardwood.,High,High,,Waiting,,,,Mars Hill,,
2023-08-10 14:19,Ceiling in upstairs bathroom has water damage from leaking roof.,"Remove ceiling, add new sheetrock and patch with 1/2"" Drywall and texture.",Low,High,,Waiting,,,,Mars Hill,,
2023-08-10 14:16,"Handrails less than 36"". Falling hazard.","Install handrails above 36"" to code.",High,High,,Waiting,,,,Mars Hill,,
2023-08-10 14:14,"Some windows do not open or are very difficult to open and close, within 6ft of ground.

1 in living room,2 in dining room, 1 in downstairs bathroom.",Replace with Pella 150 series or similar,High,High,,Waiting,,,,Mars Hill,,
2023-08-07 12:26,Will need to be stained or painted,Paint/ Stain ramp and back porch,Low,Low, $150 ,Complete,Summer Group,2023-08-04, $260 ,Big Laurel,St. Stephen's Episcopal Church,
2023-08-03 12:18,Wanda's back deck is old and deteriorating. Wanda fell and broke her ankle and will be returning home in a wheel chair.,Her steps need to be replaced with a ramp for her to access her home.,Urgent,High," $4,500 ",Complete,URP,2023-07-28," $5,000 ",Marshall,,Keith Lucas
2023-08-03 12:16,Newly built front and back deck need to be stained,Stain front and back deck,Low,Low, $500 ,Waiting,,,,Marshall,,
2023-08-03 12:00,front deck needs staining,stain front deck,Low,Low, $250 ,Waiting,,,,Petersburg,,
2023-08-03 11:30,Back deck and steps need to be stained,Stain them,Low,Low, $150 ,On Hold,,,,Big Laurel,,
2023-08-02 14:45,Side deck is broken and has no steps.,Demo and rebuild small landing with steps.,Low,Low," $1,000 ",Complete,URP; HOP; Volunteer,2023-10-23,,Hot Springs,,CHC
2023-08-02 14:44,There are no corners on siding and no siding on dormers.,Install corners and siding on dormers.,High,High," $1,000 ",Waiting,,,,Hot Springs,,
2023-08-02 14:43,Back porch is leaking and taking water damage.,Replace rusted out roofing.,High,Low, $650 ,On Hold,,,,Hot Springs,,
2023-08-02 14:42,Toilet is running after flush.,Needs new flush kit installed.,High,Low, $250 ,Complete,,,,Hot Springs,,
2023-08-02 14:42,Lesley wants a porch built at the front of house next to road.,"I told her it would be a challenging design because there isn't much room and the way the roof is. She needs a better entry way though, she is using crooked cinder blocks as steps.

Build a small landing with steps.",Low,High," $1,500 ",Complete,URP; HOP; Volunteer,2023-10-23," $2,121 ",Hot Springs,,CHC
2023-08-02 14:29,"It is hard to say if the roof is leaking or the AC condensation has caused the water damage.

Recommend new membrane roof.",Install membrane roof after AC line is moved/repaired.,Urgent,High," $1,500 ",Complete,Unrestricted,2023-10-13," $2,000 ",Hot Springs,,Neil Chandler Construction
2023-08-02 14:27,AC condensation on roof could be source of some of her water damage.,Reroute drainage for AC in a better way.,Urgent,Low, $500 ,Complete,Unrestricted,2023-10-13," $2,000 ",Hot Springs,,Neil Chandler Construction
2023-08-02 14:26,"Floor of camper is extremely soft along front wall, linoleum is the only thing keeping you from falling through.","Not sure what it is made out of, but it needs to be repaired with some framing and plywood, she has some flooring on site to put down if there was a solid surface.",Urgent,High," $1,000 ",Complete,Unrestricted,2023-10-13," $1,980 ",Hot Springs,,Neil Chandler Construction
2023-08-02 14:14,Sidewalk to driveway is breaking up and overgrown.,Possible to repair the sidewalk section that is broken up but there is a large willow tree and the roots are probably destroying the sidewalk.,Low,Low," $1,500 ",Waiting,,,,Spring Creek,,
2023-08-02 14:10,Chimney flashing does not look good and is probably the source of an occasional leak.,Redo flashing on around chimney.,Urgent,High, $800 ,Waiting,,,,Spring Creek,,
2023-08-02 14:09,"Flooring in kitchen and hallway needs replaced, and possible repair to subfloor in kitchen.",Replace/repair flooring as needed. The hallway outside laundry room has a piece that could be a tripping hazard.,Urgent,Low, $500 ,Waiting,,,,Spring Creek,,
2023-08-02 14:07,Very old stove and the oven does not work.,Remove old stove and install new one.,Low,Low, $650 ,Waiting,,,,Spring Creek,,
2023-08-02 14:06,Fridge appears to be leaking (ice maker) cause water damage to the floor.,"If disconnecting the ice maker water line is not the problem, the fridge will have to be replaced.",High,Low, $500 ,Waiting,,,,Spring Creek,,
2023-08-02 14:05,Bats are living in the attic. She has had two that made it into the living space. They are getting in and out through the gable end vents.,"Place screen over each gable end vent and install an excluder on main side, go back after bats have all been excluded and remove excluder and close up screen permanently.",Urgent,Low, $650 ,Waiting,,,,Spring Creek,,
2023-08-01 15:57,Storm door is destroyed.,Install new storm door.,Low,Low, $400 ,Waiting,,,,Hot Springs,,
2023-08-01 15:56,Flooring is all cracking and coming up.,Demo flooring and install new click lock flooring.,Low,Low," $2,500 ",Waiting,,,,Hot Springs,,
2023-08-01 15:55,"Front deck is extremely unsafe, we felt like we were gonna fall through it.","Demo deck and rebuild with steps and handrail. The existing ramp can be left alone for now, it is safe and has some life left.",Urgent,High," $3,500 ",Waiting,,,,Hot Springs,,
2023-08-01 15:54,"Roof is original shingles, there was a leak, Nick fixed it but it won't last long.","Will need a new roof, there is a DirecTV dish up there that he does not use and can be removed if the roof gets done.",High,High," $9,000 ",Waiting,,,,Hot Springs,,
2023-08-01 10:10,Roof Repair not done correctly,Put end caps on roof,Low,Low, $95 ,Complete,Summer Group,2023-08-31," $1,400 ",,Friendly Ave. Church (Greensboro),
2023-07-31 15:19,Back door is letting cold air pass.,Replace with a normal door.,High,High, $750 ,Waiting,,,,Revere/Sodom,,
2023-07-31 15:17,There is no hot water because the water heater has no power to it.,Restore power and test water heater. There is a chance it will need service or replacement since it has been sitting so long.,Urgent,High," $1,500 ",Waiting,,,,Revere/Sodom,,
2023-07-31 15:14,Bathroom floor is rotting and the toilet is probably leaking at the wax ring causing it.,"I'd like to see subfloor plywood repaired, framing repaired as needed, new toilet installed with new wax ring and supply line.",Urgent,High," $1,650 ",Waiting,,,,Revere/Sodom,,
2023-07-31 15:12,"Dangerous electrical issues, she is running the whole house off a few circuits in the kitchen.

Potential fire hazard.","Get Chris Lorde or Ricky Tweed to take a look at this place, it has the old style breaker box and I do not know what to do here.",EMERGENCY,High," $1,000 ",Waiting,,,,Revere/Sodom,,
2023-07-31 11:19,Very expensive to heat home with electric furnace.,Gas log option may be possible with existing fireplace? Exploring these options was mentioned to the client as a way to help us out.,High,High," $3,500 ",Waiting,,,,Marshall,,
2023-07-31 11:03,"Front and Rear Decking/handrails.

2x6 decking is beginning to rot on surface. It seems structurally sound for now.

Handrails are leaning and getting loose.",Both front porch and back deck need to be rebuilt in the future. I would say they are safe for the time being.,Low,High," $2,850 ",Waiting,,,,Marshall,,
2023-07-31 10:57,"Front door 33"" x 78.5"" trailer door has a large gap at the top which lets in lots of cold air.","Remove door and install a new door. Prefer a new wooden frame with exterior home door instead of mobile home door.

Insulate and trim as needed.",High,High, $750 ,Waiting,,,,Marshall,,
2023-07-31 10:52,"Original trailer roof started leaking, she had it kool sealed and it is holding for now but just a matter of time before it starts leaking again.","Install purlins, install metal roof that empties into new gutters. Install boots as needed.",High,High," $3,500 ",Complete,,2023-10-17," $6,380 ",Marshall,,Neil Chandler Construction
2023-07-27 22:58,New steps need to be stained,Stain new steps,Low,Low, $100 ,Waiting,,,,Shelton Laurel,,
2023-07-27 22:25,Having trouble getting in and out of bathtub.,Add two grab bars in shower,High,Low, $200 ,Complete,Unrestricted,2023-08-03,,Paint Fork,,
2023-07-27 12:46,Back deck is in decent shape but the steps are broken/rotting.,Possibly repair deck/steps but most likely just demo it and build a new one.,High,High," $3,200 ",On Hold,,,,Marshall,,
2023-07-27 12:45,Supply line for washing machine is leaking.,Replace laundry room supply line and fixture as it has been leaking for a long time and is very rusted out.,Urgent,High, $250 ,On Hold,,,,Marshall,,
2023-07-27 12:43,"Soft floors in Kitchen, Laundry room, master bedroom. There is plywood over holes in house.

  

Kitchen Floors falling in as of Monday 9,11,23","Extensive subfloor repairs needed. Demo old plywood, repair framing as needed, install Advantech, flooring, trim to finish (base board or shoe mould)",Urgent,," $5,000 ",On Hold,,,,Marshall,,
2023-07-27 12:42,Robert needs an accessible bathroom. Both of his bathrooms are in disrepair.,"Focusing on the master suite, we should have IL or a contractor look at fixing the floor, ceiling, and installing low threshold shower and new toilet. Possibly new sink/vanity. if needed.",Urgent,High," $5,000 ",On Hold,,,,Marshall,,
2023-07-26 14:25,"Outlet in the kitchen is fried, may have burnt up the wires in the wall too.",Replace outlet and repair wiring if needed.,Low,High, $500 ,Waiting,,,,Marshall,,
2023-07-26 14:24,Soft floor in master bedroom with plywood over it.,Repair subfloor in master bedroom.,Low,Low," $1,500 ",Waiting,,,,Marshall,,
2023-07-26 14:23,"Soft floor around toilet in bathroom, other bathroom has soft floor around bathtub.","We can fix one bathroom but not both. It will need subfloor repair, toilet, and wax ring.",Low,High," $3,500 ",Waiting,,,,Marshall,,
2023-07-26 14:21,Front steps and back deck both need replaced.,"Demo and rebuild front steps with 4x4 landing, steps, and handrail.

Demo and rebuild back deck with steps and handrail.",Low,High," $2,000 ",Waiting,,,,Marshall,,
2023-07-26 14:19,Front and back doors have both been kicked in and taken damage to the jamb.,"Replace mobile home door, gasket, and screws.",Low,High," $1,750 ",Waiting,,,,Marshall,,
2023-07-25 7:41,Ceiling fan and light do not work in living room.,"Install new 42"" ceiling fan.",Low,High,,Complete,ESFR,2023-07-24, $300 ,Upper Laurel,,Hyden Construction
2023-07-25 7:40,Basement door does not lock.,Install new doorknob.,High,High,,Complete,ESFR,2023-07-21, $75 ,Upper Laurel,,Hyden Construction
2023-07-24 16:54,"Yard work needed, deck needs cleaning up","Yard cleaning. Paint and/or power wash porch, construct low guard rails for ramp, and concrete for newly built ramp",Low,Low,,Complete,Summer Group,2023-07-13, $270 ,Mars Hill,Forsyth United Methodist Church,
2023-07-20 14:32,Paint and stain needed on porches and ramp.,Paint or stain porches/ramp.,Low,Low, $300 ,Archived,,,,Petersburg,,
2023-07-20 14:31,"Outlet in kitchen not working, also ceiling fan in kitchen not working. Not sure if they are related.",Chris Lord can fix it.,High,High, $500 ,Archived,,,,Petersburg,,
2023-07-20 14:31,Gutter on front of house to the right of porch is sagging pretty good.,Replace or repair gutter.,Low,Low, $500 ,Archived,,,,Petersburg,,
2023-07-20 14:30,Small hole in the vinyl siding.,Patch hole with silicon and covering of your choice.,Low,Low, $150 ,Archived,,,,Petersburg,,
2023-07-20 14:28,There is mold on the wall/ceiling of the bathrooms.,This probably got wet from the back side when the roof was leaking and the sheetrock needs to be replaced. Ceiling are popcorn finish.,High,Low," $1,000 ",Archived,,,,Petersburg,,
2023-07-20 14:27,"Front Door is barely latching, someone has screwed it to the stud and the strike plate and latch are barely connecting now.","The door is not in terrible shape, needs strike side of jamb shimmed out to close the gap.",High,High, $500 ,Archived,,,,Petersburg,,
2023-07-20 14:25,"Mini-split is only source of heat, there is a heat pump and furnace but it quit working.",Have a technician repair the heat pump.,High,High," $3,500 ",Archived,,,,Petersburg,,
2023-07-06 8:03,Some large foundation rocks fell over into a ditch and crushed a pipe.,"Moving these rocks will require a machine, and the pipe will have to be sleeved.",High,Low," $1,000 ",Waiting,,,,Big Pine,,
2023-07-05 10:37,Water Heater leaking. Client has to turn the water on and off to shower.,Replace water heater,EMERGENCY,High,,Complete,URP,2023-06-28," $1,445 ",Hot Springs,,Plumb Pro of WNC
2023-07-04 14:01,Roof leaking again.,Install metal roofing.,Urgent,High,,Complete,Summer Group,2023-07-26," $1,455 ",,"Western North Carolina Servant Event;
Friendly Ave. Church (Greensboro)",
2023-07-03 8:06,Tom has a difficult if not impossible time getting into the shower.,Take out master bathtub and install low thresh hold shower option.,Urgent,High," $3,500 ",In Process,,,,Petersburg,,
2023-06-29 15:09,Son is suffering from asthma due to inefficient mini-split in basement of home.,Replace with new HVAC unit.,Urgent,High," $12,000 ",Complete,HOP,2023-09-06," $10,000 ",Mars Hill,,Quality Comfair
2023-06-29 12:47,Deck boards are rotten and several tripping hazards. Railings are too low.,"Install new decking and additional railing boards to bring it up to code height, as well as additional anchor bolts for the ledger board.",High,Low,,Complete,ESFR,2023-10-02," $1,300 ",Upper Laurel,,
2023-06-29 12:45,No handrail from main floor to basement where client does laundry.,Add handrail.,High,High,,Complete,ESFR,2023-07-21, $275 ,Upper Laurel,,Hyden Construction
2023-06-29 12:44,Small ramp by kitchen is rotten.,Replace with new boards.,Urgent,High,,Complete,Summer Group,2023-07-29, $170 ,Upper Laurel,Friendly Ave. Church (Greensboro),
2023-06-29 12:42,Front porch has no handrail to keep you from falling off.,Install metal handrail attached to concrete,High,High," $1,500 ",Complete,ESFR,2023-10-02," $1,500 ",Upper Laurel,,
2023-06-29 8:28,Ceiling falling down in baby room because of roof leak.,"Once roof is fixed, repair insulation and drywall at baby room ceiling. Remove any moldy insulation and replace with new.",Urgent,Low, $250 ,Waiting,,,,Mars Hill,,
2023-06-28 15:33,"Soft floors in kitchen, dining room, and bathroom, and baby room.","Once roof is fixed, we can move on to repairing subfloor plywood and framing as needed. Install vapor barrier and flooring with baseboard or shoe mold.",High,Low," $4,250 ",Waiting,,,,Mars Hill,,
2023-06-28 15:31,"Electrical issues in the home, outlets that don't work and one in main bedroom overheated so they turned it off.",Replace outlets as needed. Restore power in entire home.,Urgent,High," $1,250 ",Complete,Volunteer,2023-07-07, $10 ,Mars Hill,,
2023-06-28 15:14,Roof is leaking in kitchen and baby room.,"Explore option for new membrane roof or possibly a metal roof with 10"" overhang.",Urgent,High," $4,500 ",Complete,HOP,2023-11-02 7:41," $9,170 ",Mars Hill,,Neil Chandler Construction
2023-06-28 15:12,"No primary source of heat, using a kerosene heater.",The customer has a mini split system and just needs help getting it installed.,EMERGENCY,High," $2,000 ",Complete,HOP,2023-10-29 7:42," $3,000 ",Mars Hill,,Derick Chandler
2023-06-27 13:49,Windows rusting and falling apart. Non-functioning.,Remove windows and replace with new ones.,High,High," $5,500 ",Waiting,,,,Revere/Sodom,,
2023-06-27 10:20,"Firewood not stacked, other needs in the yard",Stack firewood and tidy yard,Low,Low,,Archived,Summer Group; Volunteer,,,Marshall,,
2023-06-27 9:47,Pipes need insulation where they come from underground at trailer and at old house.,Locate and insulate new pipes/cutoffs under trailer and old house.,High,Low, $250 ,Waiting,Summer Group,,,Petersburg,,
